Stock,Date,Open,High,Low,Close,Volume,Adjusted
AMZN,12/16/2020,3176.01001,3247,3163.679932,3240.959961,4427600,3240.959961
AMZN,12/17/2020,3250,3263.51001,3221,3236.080078,3474300,3236.080078
AMZN,12/18/2020,3243.98999,3249.419922,3171.600098,3201.649902,5995700,3201.649902
AMZN,12/21/2020,3200.01001,3226.969971,3166,3206.179932,3836800,3206.179932
AMZN,12/22/2020,3202.840088,3222,3180.080078,3206.52002,2369400,3206.52002
AMZN,12/23/2020,3205,3210.129883,3184.169922,3185.27002,2093800,3185.27002
AMZN,12/24/2020,3193.899902,3202,3169,3172.689941,1451900,3172.689941
AMZN,12/28/2020,3194,3304,3172.689941,3283.959961,5686800,3283.959961
AMZN,12/29/2020,3309.939941,3350.649902,3281.219971,3322,4872900,3322
AMZN,12/30/2020,3341,3342.100098,3282.469971,3285.850098,3209300,3285.850098
AMZN,12/31/2020,3275,3282.919922,3241.199951,3256.929932,2957200,3256.929932
AMZN,1/4/2021,3270,3272,3144.02002,3186.629883,4411400,3186.629883
AMZN,1/5/2021,3166.01001,3223.379883,3165.060059,3218.51001,2655500,3218.51001
AMZN,1/6/2021,3146.47998,3197.51001,3131.159912,3138.379883,4394800,3138.379883
AMZN,1/7/2021,3157,3208.540039,3155,3162.159912,3514500,3162.159912
AMZN,1/8/2021,3180,3190.639893,3142.199951,3182.699951,3537700,3182.699951
AMZN,1/11/2021,3148.01001,3156.379883,3110,3114.209961,3683400,3114.209961
AMZN,1/12/2021,3120,3142.139893,3086,3120.830078,3514600,3120.830078
AMZN,1/13/2021,3128.439941,3189.949951,3122.080078,3165.889893,3321200,3165.889893
AMZN,1/14/2021,3167.52002,3178,3120.590088,3127.469971,3070900,3127.469971
AMZN,1/15/2021,3123.02002,3142.550049,3095.169922,3104.25,4244000,3104.25
AMZN,1/19/2021,3107,3145,3096,3120.76001,3305100,3120.76001
AMZN,1/20/2021,3181.98999,3279.800049,3175,3263.379883,5309800,3263.379883
AMZN,1/21/2021,3293,3348.550049,3289.570068,3306.98999,4945100,3306.98999
AMZN,1/22/2021,3304.310059,3321.909912,3283.159912,3292.22998,2821900,3292.22998
AMZN,1/25/2021,3328.5,3363.889893,3243.149902,3294,3749800,3294
AMZN,1/26/2021,3296.360107,3338,3282.870117,3326.129883,2955200,3326.129883
AMZN,1/27/2021,3341.48999,3346.52002,3207.080078,3232.580078,4660200,3232.580078
AMZN,1/28/2021,3235.040039,3301.679932,3228.689941,3237.620117,3149200,3237.620117
AMZN,1/29/2021,3230,3236.98999,3184.550049,3206.199951,4285600,3206.199951
AMZN,2/1/2021,3242.360107,3350.26001,3235.030029,3342.879883,4160200,3342.879883
AMZN,2/2/2021,3380,3427.73999,3361.129883,3380,7098600,3380
AMZN,2/3/2021,3425.01001,3434,3308.620117,3312.530029,7088800,3312.530029
AMZN,2/4/2021,3330,3347,3277.75,3331,3670700,3331
AMZN,2/5/2021,3319,3377,3302.709961,3352.149902,3613600,3352.149902
AMZN,2/8/2021,3358.5,3365,3304,3322.939941,3257400,3322.939941
AMZN,2/9/2021,3312.48999,3338,3297.840088,3305,2203500,3305
AMZN,2/10/2021,3314,3317.949951,3254,3286.580078,3151600,3286.580078
AMZN,2/11/2021,3292,3292,3248.060059,3262.129883,2295800,3262.129883
AMZN,2/12/2021,3250,3280.25,3233.310059,3277.709961,2329300,3277.709961
AMZN,2/16/2021,3254.050049,3308.300049,3253.590088,3268.949951,2574700,3268.949951
AMZN,2/17/2021,3263.600098,3320.909912,3259.5,3308.639893,3297500,3308.639893
AMZN,2/18/2021,3282.419922,3338,3273.939941,3328.22998,3027400,3328.22998
AMZN,2/19/2021,3328.22998,3333.5,3245.75,3249.899902,4305200,3249.899902
AMZN,2/22/2021,3208.129883,3232.320068,3172.26001,3180.73999,3515700,3180.73999
AMZN,2/23/2021,3127.030029,3204.72998,3093.600098,3194.5,4677200,3194.5
AMZN,2/24/2021,3166.75,3171.22998,3125.379883,3159.530029,3011300,3159.530029
AMZN,2/25/2021,3136.73999,3178.26001,3047.76001,3057.159912,4533800,3057.159912
AMZN,2/26/2021,3095.199951,3122.439941,3036.699951,3092.929932,4273500,3092.929932
AMZN,3/1/2021,3127.889893,3149.560059,3097.98999,3146.139893,2729100,3146.139893
AMZN,3/2/2021,3143.469971,3163.52002,3087.120117,3094.530029,2590000,3094.530029
AMZN,3/3/2021,3081.179932,3107.780029,2995,3005,3967200,3005
